identifiantCandidat,genre,nationalite,serie,mentionAuBac,redoublementTerminale,rangEnTerminale,age,annee
20173147,M,IVOIRIENNE,D,BIEN,NON,4,21.0,2017
20173150,M,IVOIRIENNE,F3,PASSABLE,NON,5,25.0,2017
20173151,F,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
20173158,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,20.0,2017
20173162,F,IVOIRIENNE,C,BIEN,NON,1,21.0,2017
20173170,M,IVOIRIENNE,C,BIEN,OUI,1,22.0,2017
20173194,M,IVOIRIENNE,G2,ASSEZ-BIEN,NON,3,21.0,2017
20173195,M,IVOIRIENNE,C,BIEN,NON,1,21.0,2017
20173197,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,20.0,2017
20173202,M,IVOIRIENNE,D,BIEN,NON,4,22.0,2017
20173221,F,IVOIRIENNE,A2,BIEN,NON,1,21.0,2017
20173225,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,6,20.0,2017
20173233,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,20.0,2017
20173263,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,24.0,2017
20173264,M,IVOIRIENNE,E,PASSABLE,NON,13,21.0,2017
20173273,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,17,19.0,2017
20173283,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,6,20.0,2017
20173319,F,IVOIRIENNE,C,BIEN,NON,9,21.0,2017
20173337,F,IVOIRIENNE,D,BIEN,NON,7,20.0,2017
20173358,M,IVOIRIENNE,F7,PASSABLE,NON,5,25.0,2017
20173361,F,IVOIRIENNE,D,BIEN,NON,1,19.0,2017
20173378,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,1,24.0,2017
20173382,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,17,22.0,2017
20173400,F,IVOIRIENNE,F2,ASSEZ-BIEN,NON,1,22.0,2017
20173428,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,21.0,2017
20173441,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,4,20.0,2017
20173448,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,6,24.0,2017
20173454,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,20.0,2017
20173470,M,IVOIRIENNE,C,BIEN,NON,1,20.0,2017
20173475,F,IVOIRIENNE,G2,ASSEZ-BIEN,NON,2,24.0,2017
20173477,M,IVOIRIENNE,D,BIEN,NON,1,23.0,2017
20173479,M,IVOIRIENNE,C,BIEN,NON,4,22.0,2017
20173480,F,IVOIRIENNE,F3,PASSABLE,NON,4,21.0,2017
20173481,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,20.0,2017
20173515,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,6,22.0,2017
20173517,M,IVOIRIENNE,C,BIEN,NON,18,24.0,2017
20173522,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,13,22.0,2017
20173537,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,1,22.0,2017
20173538,M,IVOIRIENNE,C,BIEN,NON,3,21.0,2017
20173547,M,GUINEENNE,D,BIEN,NON,4,21.0,2017
20173555,M,IVOIRIENNE,C,BIEN,NON,3,22.0,2017
20173582,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,21.0,2017
20173623,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,20.0,2017
20173632,M,IVOIRIENNE,G2,ASSEZ-BIEN,NON,1,21.0,2017
20173679,M,IVOIRIENNE,F4,ASSEZ-BIEN,NON,3,21.0,2017
